Gene_name	nSites	nLocations	Tot	cdsAlt	utr5Altx	utr3Altx
CNAG_00488	4	3	106	TRUE	FALSE	FALSE
CNAG_00490	3	1	62	FALSE	TRUE	FALSE
CNAG_00491	1	1	1493	FALSE	FALSE	FALSE
CNAG_00492	4	3	38	TRUE	TRUE	FALSE
CNAG_00493	6	3	392	TRUE	FALSE	FALSE
CNAG_00495	1	1	606	FALSE	FALSE	FALSE
CNAG_00496	1	1	2291	FALSE	FALSE	FALSE
CNAG_00497	4	2	2832	TRUE	FALSE	FALSE
CNAG_00498	2	2	617	TRUE	FALSE	FALSE
CNAG_00499	1	1	874	FALSE	FALSE	FALSE
CNAG_00500	1	1	4090	FALSE	FALSE	FALSE
CNAG_00501	2	1	12	TRUE	FALSE	FALSE
CNAG_00502	1	1	1749	TRUE	FALSE	FALSE
CNAG_00503	1	1	3498	FALSE	FALSE	FALSE
CNAG_00504	5	2	849	TRUE	FALSE	FALSE
CNAG_00505	1	1	768	FALSE	FALSE	FALSE
CNAG_00506	4	2	1585	TRUE	FALSE	FALSE
CNAG_00508	3	2	1311	TRUE	FALSE	FALSE
CNAG_00509	1	1	17529	FALSE	FALSE	FALSE
CNAG_00510	1	1	13776	FALSE	FALSE	FALSE
CNAG_00511	6	2	123	TRUE	FALSE	FALSE
CNAG_00512	2	2	3071	TRUE	FALSE	FALSE
CNAG_00513	1	1	1837	FALSE	FALSE	FALSE
CNAG_00514	5	2	206	TRUE	FALSE	FALSE
CNAG_00515	8	3	351	TRUE	TRUE	FALSE
CNAG_00516	1	1	301	TRUE	FALSE	FALSE
CNAG_00517	2	1	2525	TRUE	FALSE	FALSE
CNAG_00519	4	2	3220	TRUE	TRUE	FALSE
CNAG_00520	3	2	3141	TRUE	FALSE	FALSE
CNAG_00521	6	2	599	TRUE	FALSE	FALSE
CNAG_00522	4	2	1279	TRUE	FALSE	FALSE
CNAG_00523	2	2	1644	TRUE	FALSE	FALSE
CNAG_00524	3	2	409	TRUE	FALSE	FALSE
CNAG_00525	3	3	544	TRUE	FALSE	FALSE
CNAG_00526	1	1	3	TRUE	FALSE	FALSE
CNAG_00527	4	2	2871	TRUE	FALSE	FALSE
CNAG_00528	3	2	1093	TRUE	FALSE	FALSE
CNAG_00529	1	1	1070	FALSE	FALSE	FALSE
CNAG_00531	2	2	2012	TRUE	FALSE	FALSE
CNAG_00532	2	2	247	TRUE	FALSE	FALSE
CNAG_00533	1	1	2518	FALSE	FALSE	FALSE
CNAG_00534	1	1	7507	FALSE	FALSE	FALSE
CNAG_00535	1	1	8244	FALSE	FALSE	FALSE
CNAG_00536	1	1	9517	FALSE	FALSE	FALSE
CNAG_00537	1	1	1549	FALSE	FALSE	FALSE
CNAG_00538	1	1	2032	FALSE	FALSE	FALSE
CNAG_00539	1	1	7303	FALSE	FALSE	FALSE
CNAG_00540	2	1	111	FALSE	TRUE	FALSE
CNAG_00541	2	1	453	FALSE	TRUE	FALSE
CNAG_00542	3	2	309	TRUE	FALSE	FALSE
CNAG_00543	3	2	632	TRUE	FALSE	FALSE
CNAG_00544	3	2	661	TRUE	TRUE	FALSE
CNAG_00545	6	2	896	TRUE	FALSE	FALSE
CNAG_00546	4	2	922	TRUE	TRUE	FALSE
CNAG_00547	8	2	303	TRUE	TRUE	FALSE
CNAG_00549	2	1	1162	TRUE	FALSE	FALSE
CNAG_00550	2	2	2207	TRUE	FALSE	FALSE
CNAG_00551	2	2	8062	TRUE	FALSE	FALSE
CNAG_00554	1	1	6955	FALSE	FALSE	FALSE
CNAG_00555	1	1	5205	FALSE	FALSE	FALSE
CNAG_00556	3	2	6706	TRUE	FALSE	FALSE
CNAG_00557	3	2	987	TRUE	FALSE	FALSE
